  1			342
  2			401
  3			400
  4			357
  5			350
  6			390
  7			340
  8			325
  9			380
  10			361
  11			336
  12			347
  13			400
  14			400
  15			372
  16			340
  17			480
  18			470
  19			391
  20			450
  21            400
  22            400
  23            400
  24            400
  25            400
  26            400
  27            400
  28            400
  29            400
  30            400
  31            400
  32            400
  33            400
  34            400
  35            400
  36            400
  37            400
  38            400
  39            400
  40            400

