  1             301.14
  2             339.16
  3             355.45
  4             338.55
  5             318.29
  6             393.60
  7             312.46
  8             345.45
  9             370.76
  10            283.75
  11            289.53
  12            277.94
  13            346.44
  14            399.13
  15            319.99
  16            366.45
  17            480
  18            324.42
  19            271.37
  20            414.61
  21            440
  22            430
  23            345
  24            430
  25            410
  26            447
  27            390
  28            430
  29            495
  30            500
  31            440
  32            440
  33            370
  34            405
  35            440
  36            280
  37            445
  38            430
  39            440
  40            487
